Year,RO,HR,County,Grain,Rice,Cotton,Sugar Beets,Corn,Dry Beans, Safflower,Other Field Crops, Alfalfa,Pasture,Tomato Processing,Tomato Fresh,Cucurbits, Onions & Garlic, Potatoes,Truck Crops, Almonds & Pistachios, Other Deciduous, Citrus & Subtropical, Vineyard,Avg. CF
2015,NCRO,1_North Coast,23_Mendocino,0,0,0,0,0.93,0,0,0.86,0.86,0.87,0,0,0.95,0,0,0.86,0,0.84,0.93,0.95,0.93
2015,NCRO,1_North Coast,49_Sonoma,0.85,0,0,0,0.85,0,0,0.85,0,0.82,0,0,0.88,0,0,0.9,0,0.88,0.95,0.95,0.92
2015,NCRO,1_North Coast,21_Marin,0.89,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0.85,0,0.87,0.95,0.94,0.88
2015,NCRO,2_San Francisco Bay,28_Napa,0.84,0,0,0,0.86,0,0,0.92,0.83,0.84,0,0,0.95,0.95,0,0.89,0,0.85,0.93,0.95,0.94
2015,NCRO,2_San Francisco Bay,48_Solano,0.86,0,0,0,0.85,0.85,0.89,0.85,0.85,0.86,0.85,0,0.88,0.87,0,0.88,0.9,0.86,0.91,0.93,0.86
2015,NCRO,2_San Francisco Bay,41_San Mateo,0.84,0,0,0,0,0.87,0,0.85,0,0.83,0,0,0.95,0.88,0,0.86,0,0.85,0.95,0.95,0.86
2015,NCRO,2_San Francisco Bay,43_Santa Clara,0.83,0,0,0,0.95,0.91,0,0.86,0.82,0.83,0.95,0.95,0.95,0.94,0,0.89,0.87,0.87,0.94,0.95,0.89
2015,NCRO,2_San Francisco Bay,01_Alameda,0,0,0,0,0,0,0,0,0.84,0.86,0,0,0,0,0,0.88,0.95,0.85,0.92,0.95,0.9
2015,NCRO,2_San Francisco Bay,07_Contra Costa,0.86,0,0,0,0.86,0,0,0,0.84,0.84,0.93,0,0.89,0,0,0.89,0,0.85,0.89,0.92,0.86
2015,NCRO,5_Sacramento River,29_Nevada,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0.86,0,0.83,0,0.91,0.83
2015,NCRO,5_Sacramento River,31_Placer,0.86,0.93,0,0,0.85,0,0,0.94,0.84,0.84,0,0,0.87,0,0,0.89,0.93,0.88,0.87,0.95,0.87
2015,NCRO,5_Sacramento River,46_Sierra,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0.83,0,0,0.85
2015,NCRO,5_Sacramento River,58_Yuba,0.94,0.93,0,0,0.85,0,0,0.93,0.9,0.88,0,0,0.95,0,0,0.95,0.88,0.89,0.89,0.95,0.9
2015,NCRO,5_Sacramento River,09_El Dorado,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0.88,0,0.87,0.91,0.95,0.89
2015,NCRO,5_Sacramento River,57_Yolo,0.86,0.93,0,0,0.87,0.85,0.9,0.88,0.88,0.88,0.88,0.91,0.87,0.87,0,0.86,0.91,0.88,0.92,0.95,0.89
2015,NCRO,5_Sacramento River,51_Sutter,0.91,0.93,0.88,0,0.86,0.84,0.89,0.85,0.89,0.88,0.84,0,0.87,0.87,0,0.86,0.9,0.88,0.89,0.92,0.9
2015,NCRO,5_Sacramento River,34_Sacramento,0.89,0.93,0,0,0.88,0.86,0.9,0.89,0.85,0.85,0.86,0,0.87,0.87,0.85,0.89,0.91,0.87,0.92,0.95,0.88
2015,NCRO,5_Sacramento River,03_Amador,0,0,0,0,0.86,0,0.85,0,0.84,0.84,0,0,0,0,0,0.89,0,0.85,0.88,0.92,0.88
2015,NCRO,6_San Joaquin River,05_Calaveras,0.85,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0.89,0.88,0.85,0.88,0.92,0.86
2015,NCRO,6_San Joaquin River,39_San Joaquin,0.85,0.93,0.85,0,0.86,0.86,0.86,0.85,0.84,0.84,0.93,0,0.89,0.92,0.93,0.89,0.88,0.85,0.88,0.92,0.87
2015,SCRO,5_Sacramento River,02_Alpine,0,0,0,0,0,0,0,0,0.86,0.86,0,0,0,0,0,0,0,0,0,0,0.86
2015,SCRO,6_San Joaquin River,55_Tuolumne,0,0,0,0,0,0,0,0.95,0,0.86,0,0,0,0,0,0.91,0,0.93,0.95,0.95,0.88
2015,SCRO,8_North Lahontan,26_Mono,0,0,0,0,0,0,0,0,0,0.85,0.9,0,0,0,0,0,0,0,0,0,0.89
