Year,RO,HR,County,Grain,Rice,Cotton,Sugar Beets,Corn,Dry Beans, Safflower,Other Field Crops, Alfalfa,Pasture,Tomato Processing,Tomato Fresh,Cucurbits, Onions & Garlic, Potatoes,Truck Crops, Almonds & Pistachios, Other Deciduous, Citrus & Subtropical, Vineyard,Total AW
2015,NCRO,1_North Coast,23_Mendocino,0,0,0,0,6.74,0,0,22.8,209.38,4862.48,0,0,20.64,0,0,224.08,0,4054.72,323.12,31394.86,41118.82
2015,NCRO,1_North Coast,49_Sonoma,2358.44,0,0,0,738.65,0,0,617.22,0,26732.86,0,0,236.34,0,0,2230.67,0,4797.53,974.12,84488.86,123174.69
2015,NCRO,1_North Coast,21_Marin,3461.54,0,0,0,0,0,0,0,0,12285.33,0,0,0,0,0,300.16,0,65.76,193.25,178.23,16484.27
2015,NCRO,2_San Francisco Bay,28_Napa,101.52,0,0,0,4.72,0,0,198.9,29.75,3647.95,0,0,48.1,3.02,0,169.62,0,349.36,438.42,66160.31,71151.67
2015,NCRO,2_San Francisco Bay,48_Solano,27319.86,0,0,0,10163.83,5267.84,2281.86,35573.15,132260.46,141885.66,32336.16,0,3000.38,535.53,0,9796.06,25017.7,48192.87,553.46,12412.5,486597.32
2015,NCRO,2_San Francisco Bay,41_San Mateo,43,0,0,0,0,49.5,0,130.26,0,603.54,0,0,204.69,84,0,3455.17,0,157.32,88.79,235.91,5052.18
2015,NCRO,2_San Francisco Bay,43_Santa Clara,4970.99,0,0,0,1573.84,337.28,0,236.52,1501.48,1783.05,1592.28,1797.12,433.75,1543.75,0,20690.09,41.55,5987.22,256.63,1852.9,44598.45
2015,NCRO,2_San Francisco Bay,01_Alameda,0,0,0,0,0,0,0,0,1356.1,2382.1,0,0,0,0,0,722.04,286.44,200.73,260.61,4322.88,9530.9
2015,NCRO,2_San Francisco Bay,07_Contra Costa,5097.03,0,0,0,22746.2,0,0,0,11080.72,21473,6350.64,0,173.88,0,0,2210,0,3778.72,317.24,3759.4,76986.83
2015,NCRO,5_Sacramento River,29_Nevada,0,0,0,0,0,0,0,0,0,42671.04,0,0,0,0,0,350.61,0,159.64,0,672.54,43853.83
2015,NCRO,5_Sacramento River,31_Placer,592.59,26899.04,0,0,1162.98,0,0,68.68,1054.34,57140.29,0,0,19.36,0,0,3077.38,307.1,14992.81,940.28,654.8,106909.65
2015,NCRO,5_Sacramento River,46_Sierra,0,0,0,0,0,0,0,0,0,281.32,0,0,0,0,0,0,0,7.65,0,0,288.97
2015,NCRO,5_Sacramento River,58_Yuba,2967.11,112575.64,0,0,958.82,0,0,109.5,3115.19,38481.38,0,0,383.35,0,0,13.2,6868.05,123259.47,2533.65,194.14,291459.5
2015,NCRO,5_Sacramento River,09_El Dorado,0,0,0,0,0,0,0,0,0,3832.82,0,0,0,0,0,613.82,0,4726.08,167.27,6678.93,16018.92
2015,NCRO,5_Sacramento River,57_Yolo,36245.24,21174.04,0,0,3061.59,184.66,8935.98,46656.48,104834.03,55393.5,67054.6,575.19,16221.75,362.08,0,10895.68,47366.12,57211.97,5108.51,43799.16,525080.58
2015,NCRO,5_Sacramento River,51_Sutter,12882.74,270839.73,1702.83,0,22125.46,14095.57,8034.84,14422.63,22541.77,46339.63,35782.56,0,6767.32,276.11,0,4616.25,37809.42,230856.78,2640.05,526.52,732260.21
2015,NCRO,5_Sacramento River,34_Sacramento,35779.33,24816.76,0,0,56595.93,1480.9,2201.43,5565.63,64680.48,125022.96,11705.54,0,1916.34,393.94,1943.4,6820.99,2987.1,31213.76,286.95,81725.44,455136.88
2015,NCRO,5_Sacramento River,03_Amador,0,0,0,0,113.18,0,390.35,0,2805.98,9782.6,0,0,0,0,0,16.92,0,1073.86,55.51,12263.1,26501.5
2015,NCRO,6_San Joaquin River,05_Calaveras,131.44,0,0,0,0,0,0,0,0,5960.88,0,0,0,0,0,225.6,102.08,3167.71,910.81,1875.08,12373.6
2015,NCRO,6_San Joaquin River,39_San Joaquin,2754.82,9556.02,300.84,0,146462.82,15426.57,3243.1,1157.79,231950.67,69799.03,68392.5,0,16638.88,1465.02,6605.56,20035.9,249352.22,345175.63,11719.67,264447.65,1464484.69
2015,SCRO,5_Sacramento River,02_Alpine,0,0,0,0,0,0,0,0,809.28,10323.52,0,0,0,0,0,0,0,0,0,0,11132.8
2015,SCRO,6_San Joaquin River,55_Tuolumne,0,0,0,0,0,0,0,48.11,0,4967.9,0,0,0,0,0,196.5,0,969.4,22.4,303.55,6507.86
2015,SCRO,8_North Lahontan,26_Mono,0,0,0,0,0,0,0,0,0,6688.57,47450.07,0,0,0,0,0,0,0,0,0,54138.64
